description,fee_type,html_url,id,label,level,name,online_type,picture_url,purchase_seconds_info,students_count
课程从什么是 JavaScript 开始，一步步讲解 JavaScript 基础语法、关键特性、JSON、WebAPI 等知识点。内容将会涉及网页窗口交互的方法以及通过 DOM 进行网页元素的相关操作。,free,/courses/1238,1238,,2,JavaScript 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/assets/1630052381355_1077435c9f02dbcc22ae08db70e74354,,16442
上个世纪 90 年代随着万维网的兴起，网络编程也开始逐渐发展。本课程将介绍如何使用 Socket 创建 TCP 客户端、协程原理、Linux 系统中的五种 I/O 模型、select/poll/epoll 实现 I/O 复用，以及基于 Socket 创建同步阻塞、多线程、异步程序爬取网络图片，后半部分学习异步事件库 pyuv 以及协程框架 greenlet 和 gevent 实现异步爬虫。,bootcamp,/courses/1292,1292,,3,Python 异步网络编程实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20190924-1569308986283,,1132
简明易懂的 Python3 课程，不仅适用于那些有其它语言基础的同学，对没有编程经验的同学也非常友好。本课程不仅讲解了 Python3 基础知识，还介绍了 PEP8、Virtualenv、测试、项目结构以及 Flask 相关内容,free,/courses/596,596,,2,Python3 简明教程,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592801417_【596】-【Python3简明教程】.png,,102052
本课程是《深度学习原理与 PyTorch 实战》书籍的配套实践内容。《深度学习原理与 PyTorch 实战》是一本系统介绍深度学习及开源框架 PyTorch 的入门书，全书注重实战，讲解了卷积神经网络，循环神经网络，计算机视觉，迁移学习，自然语言处理等相关知识。,bootcamp,/courses/1073,1073,,2,PyTorch 入门与实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid18510-20190718-1563414007419,,935
TensorFlow 是由谷歌在 2015 年 11 月发布的深度学习开源工具，我们可以用它来快速构建深度神经网络，并训练深度学习模型。2019 年，TensorFlow 正式推出了 2.0 版本，也意味着 TensorFlow 从 1.x 正式过度到 2.x 时代。,bootcamp,/courses/1080,1080,,2,TensorFlow 2 深度学习入门与实践,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20191014-1571044901528,,1104
本课程主要讲解如何通过实验的方式实战 Spring Boot/Cloud 并结合 Docker 使用。课程包含了服务注册于发现中心 Eureka，Spring Boot Actuator 监控端点，Ribbon 客户端负载均衡，Feign 声明式 REST 调用，Docker Compose 的基本使用等知识点，最后通过 Docker Compose 介绍了接近实际开发的两个例子。,bootcamp,/courses/1360,1360,,3,Spring Cloud 与 Docker 实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20191205-1575541847039,,1203
自然语言处理是指对人们平时日常使用的交流语言进行处理的一项技术。自然语言处理经过多年的发展，现今可以划分为两部分内容，即：自然语言的理解和自然语言的生成。本次实验将以文本分类为目标，介绍自然语言处理相关的基础操作和应用。学习完本课程后，建议继续学习：https://www.lanqiao.cn/courses/1329,member,/courses/1208,1208,,2,自然语言处理基础入门,online_public,https://dn-simplecloud.shiyanlou.com/course/1542944010138_[1208]-[自然语言处理基础入门]-(3).jpg,,1721
Docker 的本质是使用 LXC 实现类似虚拟机的功能，进而节省的硬件资源提供给用户更多的计算资源。本项目将 C++ 与 Linux 的 Namespace 及 Control Group 技术相结合，实现一个简易 Docker 容器。,member,/courses/608,608,,2,C++ 实现简易 Docker 容器,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592873707_【608】-【C++实现简易Docker容器】.png,,1964
本课程讲解 C 语言的开发环境以及对 C 语言的剖析，引入大量的 C 语言程序案例，把算法和语法结合起来，通过引导大家由浅入深地编写 C 程序，让大家掌握 C 语言。我们将从中学会 C 语言语法、数组、模块化程序设计指针、文件的输入与输出等。,free,/courses/57,57,,2,C 语言简明教程,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200331-1585634482951,,75985
从零开始实现一个完整的问答社区项目，包含用户评论、点赞、回复、签到、收藏、加精、置顶、搜索、登录注册和邮件激活、密码找回等功能。本课程主要使用 Flask 完成问答社区项目，适合对 Web 开发有一定基础，想进一步加强理解与运用的同学。,bootcamp,/courses/1443,1443,,3,Flask 实现一个问答社区,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20191111-1573441965331,,508
HTML 超文本标记语言是构成 Web 世界的一砖一瓦，它定义了网页内容的含义和结构。课程将从网站的基础概念开始，带你了解其运行机制。然后，我们会学习 HTML 基础知识，了解各种常用标签的意义以及基本用法。此外，课程还会涉及 HTML5 的内容，这是 HTML 的最新标准，它添加了一些新的语法特征。,free,/courses/43,43,,2,HTML5 简明教程,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200320-1584668936196,,32681
Flappy Bird 是之前十分热门的小游戏，后来出现多个衍生版本。本节课程将使用 C 语言来实现一个字符版 Flappy Bird，感受不一样的风采。本课程学习后将会熟悉C语言，以及绘图库ncurses的使用。本课程适合有C语言基础，想做练手项目的同学，可以有效的学习ncurses绘图库的使用，做一些有趣的事情。,member,/courses/146,146,,2,C 语言实现 Flappy Bird 游戏,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592227963_【146】-【C语言版FlappyBird】.png,,6691
Pandas 是基于 NumPy 的数据处理工具，其提供了高效操作大型数据集所需的函数和方法，是数据分析中必不可少的模块。Pandas 百题大冲关共有 100 道练习题，不仅可以学习 Pandas 的使用，也是复习 Pandas 的必备宝典。,free,/courses/1091,1091,,2,Pandas 百题大冲关,online_public,https://dn-simplecloud.shiyanlou.com/1523958570202.png,,16456
Spring MVC 是一个强大灵活的 Web 框架，其提供了 DispatcherServlet 作为前端控制器来分配请求。本次课程，将学习 Spring 策略接口，以及 JSP、Velocity、Tiles 等相关技术。,member,/courses/810,810,,2,Spring MVC 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/1517283015763.png,,3997
CSS 层叠样式表用来描述 HTML 文档的呈现，是前端开发过程中一项重要的知识技能。课程从最基本的 CSS 概念开始，逐步深入，教你学会如何使用 CSS 同时控制多重网页的样式和布局。同时，课程还会涉及最新版本 CSS3 的内容，带你掌握新的标准化组件。,member,/courses/1237,1237,,2,CSS3 简明教程,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200320-1584668924916,,6307
Spring Boot 作为当前十分流行的 Java 框架，深得 Java 开发人员的喜爱。课程将学习手动创建 Spring Boot 项目并配置 Spring Boot MVC，内容还会涉及 Spring Boot 集成和部署实践。,member,/courses/1152,1152,,2,Spring Boot 入门教程,online_public,https://dn-simplecloud.shiyanlou.com/course/1536283668551_【1152】-【SpringBoot入门教程】.png,,15434
这篇课程为大家提供一种管理服务器在 1000 台以内的自动化运维方案，主要实现自动化运维方案里的集中化管理的核心部分；可以为运维工作的同学提供一种解决日常工作中批量处理服务器维护性工作的方案，为从事自动化运维开发的同学提供一种自动化运维的实现思路。,bootcamp,/courses/1380,1380,,3,Ansible 和 Celery 运维开发平台实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20190926-1569464739617,,765
本次课程讲解了 JDK 中常用的 API，这对日常的开发十分重要。课程将涉及字符串数字处理函数，集合框架，输入输出流，以及多线程等相关知识。,member,/courses/109,109,,2,JDK 基础入门,online_public,https://dn-simplecloud.shiyanlou.com/assets/1631096284463_0ec29a23d557a260b4ffb486463ddd21,,17967
本课程主要讲解利用 Pandas 对数据集进行快速读取、转换、过滤、分析等一系列操作。同样，Pandas 已经被证明为是非常强大的用于处理时间序列数据的工具。重点介绍所有 Pandas 在时间序列数据上的处理方法。,member,/courses/335,335,,2,Pandas 时间序列数据处理,online_public,https://dn-simplecloud.shiyanlou.com/1543913883545.png,,981
本实验使用 C++ 实现一个课程管理系统，在这个过程中会介绍C++11的很多特性，同时可以熟悉Linux下的C++语言编译方法及简单的Makefile编写。,member,/courses/1052,1052,,2,C++ 实现课程管理系统,online_public,https://dn-simplecloud.shiyanlou.com/1521537778978.png,,2306
"MyBatis 是支持定制化 SQL、存储过程以及高级映射的优秀的持久层框架。MyBatis 避免了几乎所有的 JDBC 代码和手动设置参数以及获取结果集。MyBatis 可以对配置和原生 Map 使用简单的 XML 或注解，将接口和 Java 的 POJOs(Plain Old Java Objects,普通的 Java对象)映射成数据库中的记录。本次课程详细介绍了 MyBatis 框架结构知识，并通过多个基础的 Demo 实例讲解了 MyBatis 的用法。",member,/courses/802,802,,2,MyBatis 框架基础入门,online_public,https://dn-simplecloud.shiyanlou.com/1517282865454.png,,8275
主要从 Spark SQL 的入门开始讲解，最后通过实战案例来巩固之前所学的知识，让学员达到深入浅出，融会贯通的教学目标。对于 Hive 相关知识我们会从入门开始学习。SpringBoot 框架也会手把手教大家搭建。在最后，会讲解 NLP 的基础知识，并且使用实战案例对影评信息进行情感分析。,bootcamp,/courses/1171,1171,,2,Spark SQL 入门到上手实战,online_public,https://dn-simplecloud.shiyanlou.com/course/1539571935166_1171-Spark-SQL-入门到上手实战.jpg,,1300
课程内容主要通过C++和openGL库来实现了一个吃豆人的小游戏。使用了标准模板库，既对自己之前知识的检阅也是对C++编程能力的一种提升。,free,/courses/1182,1182,,2,C++ 和 OpenGL 实现吃豆人游戏,online_public,https://dn-simplecloud.shiyanlou.com/course/1539677989499_[1182]-[C++-使用-openGL-实现吃豆人游戏].jpg,,9225
本课程通过在后台的 Servlet 生成验证码图片，传递到前台 HTML 页面展示。完成本课程可以进一步熟悉 Servlet、Random 函数、StringBuffer 、OutputStream 等等，掌握基础的验证码生成。本课程难度一般，适合具有 Java 基础和核心 API 知识的同学入门 Servlet 技术。,member,/courses/588,588,,2,Java Servlet 生成简单验证码图片,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592682929_【588】-【基于servlet的简单验证码图片生成】.png,,1542
本课程将使用 Go 语言从 0 开始动手实现 Zinx 框架，并学习 Golang 语言特性与并发服务器的设计思路。本课程内容已经取得 Zinx 框架开发者明确授权。,free,/courses/1639,1639,,2,Go 并发服务器框架 Zinx 入门,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200410-1586488745518,,832
本课程通过动手实验学习 Linux 上 GDB 调试 C 语言程序的基本技巧。首先讲解了 GDB 的常用命令，然后通过对有问题的链表程序的调试来逐步实践挖掘程序 BUG 的过程。,member,/courses/496,496,,2,GDB 简明教程,online_public,https://dn-simplecloud.shiyanlou.com/assets/1630635063890_d0db68244b3c3864e313c7b7322ab893,,3386
本课程将通过使用 C 语言实现常见的数据结构，加深同学们对 C 语言的理解。课程将强化学员的数据结构基本功，帮助你在工作和面试脱颖而出。,bootcamp,/courses/1660,1660,,3,C 语言实现常见数据结构,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200410-1586505092272,,1338
完全在线实验的 Spark 培训课程，从 Spark 的安装开始，带你逐步完成 Spark 技术入门。再通过一系列实践项目的动手操作，让你全面入门 Spark 相关技术。课程涵盖 Scala，Streaming，SparkSQL，MLlib，GraphX 等 Spark 相关技术，教程中提供尽可能丰富的步骤说明和截图，详细的理论知识会附上相关文章链接。,bootcamp,/courses/456,456,,3,Spark 大数据动手实验,online_public,https://dn-simplecloud.shiyanlou.com/course/1527225903785_【456】-【Spark大数据动手实验】(1).png,,2844
本课程通过 C++ 实现了一个迷宫游戏，游戏不仅涉及到简单的 C++ 游戏思想，还涉及到深度优先遍历算法。适合具有 C++ 基础的同学进行练习巩固知识。,free,/courses/1218,1218,,2,C++ 实现迷宫游戏与破解,online_public,https://dn-simplecloud.shiyanlou.com/1546500900109.png,,3434
本课程将通过理解一个操作类似于 Redis，存储理念来自于 CouchDB 的键值数据库的源代码来学习如何做数据库的数据存储，体会使用不可变数据结构的优点。,free,/courses/614,614,,2,Python3 实现键值数据库,online_public,https://dn-simplecloud.shiyanlou.com/course/1542593215523_【614】-【Python实现键值数据库】.png,,7930
本课程作为 Java 编程的入门内容，是每个 Java 初学者都必须掌握的基础知识。课程从常量与变量、运算符、流程控制、数组和方法等 Java 基础语法开始，层层递进，逐步带你认识了解如何通过 Java 实现面向对象的三大特征继承、封装，多态。同时，课程还会涉及 Java 中常用类、字符串、集合框架和异常处理的相关操作使用。,free,/courses/1230,1230,,2,Java 简明教程,online_public,https://dn-simplecloud.shiyanlou.com/1547620906601.png,,36780
本课程从安装开始，到工作中常用的Selenium语法如元素定位、切换窗口、iframe的定位、手写xpath等，并结合unittest，SMTP发送邮件等使整个项目形成框架，让大家快速入门Selenium，成为自动化测试的一员。,member,/courses/1163,1163,,3,Python 自动化测试实战,online_public,https://dn-simplecloud.shiyanlou.com/assets/1629466591051_dd515b7d806cac613300a001800ca462,,1424
本课程利用 QT 开发环境来实现一个 PDF 阅读器。主要内容包含了 QT 的基本用法以及图形界面的设计，还有第三方库 poppler 的使用。,member,/courses/1186,1186,,2,C++ 利用 QT 实现 PDF 阅读器,online_public,https://dn-simplecloud.shiyanlou.com/course/1542251550853_[1186]-[C++利用QT实现PDF阅读器].jpg,,934
TensorFlow 是 Google 开发的一款深度学习框架。本次课程中，我们将了解并学会使用 TensorFlow，然后利用其构建一个基础的神经网络，最后再训练用于手写字符识别的卷积神经网络。,member,/courses/893,893,,2,TensorFlow 实现卷积神经网络,online_public,https://dn-simplecloud.shiyanlou.com/1502778396172.png,,2654
Scala 是一门多范式的编程语言，类似于 Java 。设计初衷是实现可伸缩的语言、并集成面向对象编程和函数式编程的各种特性。在本课程中，你将可以学习到 Scala 的基础语法、类和对象、基本数据类型、控制语句以及函数等方面的知识，从而更好地来编写 Scala 应用。,free,/courses/490,490,,2,Scala 开发教程,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592576561_【490】-【Scala开发教程】.png,,9071
本课程是一个 Spring Boot 技术栈由入门到精通的实战类课程，课程将涉及基础环境准备以及 Spring Boot 项目实践开发。课程的结尾也会讲解如何开发一个 Spring Boot + Thymeleaf + MyBatis + AdminLTE3  的资讯发布系统，让大家实际操作并从无到有开发一个线上项目。,bootcamp,/courses/1274,1274,,3,23 个实验带你轻松玩转 Spring Boot,online_public,https://dn-simplecloud.shiyanlou.com/course/1557912174667_【1274】-【23个实验带你轻松玩转SpringBoot】_.png,,1327
本实验课程是通过计算机操作系统原理的学习，并结合Linux操作系统，把所学原理落实到具体的应用中，边学边用，边用边学，在理论与原理之间架起一座有效的桥梁。,free,/courses/2610,2610,,2,操作系统课程,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid1-20200622-1592809572502,,4039
本课程讲解了 Struts2 的基本概念以及一些基本的用法，其中还讲解了一些 Struts2 中的原理，配合 OGNL 进行开发。在理论讲解的同时还加入了实践，动手实现文件的上传和拦截器，最后还通过一个表单验证来总结前面的知识。,member,/courses/32,32,,2,Apache Struts 框架基础入门,online_public,https://dn-simplecloud.shiyanlou.com/course/1542591740014_【32】-【Struts框架教程】.png,,9848
本课程将通过 13 个实验和 8 个挑战带领大家入门学习 Hadoop 相关的核心组件，主要包括 Hadoop、MapReduce、YARN、HBASE、Sqoop、Solr、Hive、Flume、Kafka、Pig 等等。并且针对各大组件设计了相应的实操练习，如 HDFS文件处理、数据导入、数据迁移、使用 Flume 和 Kafka 实现实时 web 日志收集和分析处理等等。,bootcamp,/courses/1136,1136,,3,Hadoop 核心组件基础实战,online_public,https://dn-simplecloud.shiyanlou.com/1547015154964.png,,1479
课程基于《釜山行》剧本，使用 Python 编写代码分析文本中人物的共现关系，完成对人物关系提取，并利用 Gephi 软件对提取的人物关系绘制人物关系图。,free,/courses/677,677,,2,Python 提取釜山行人物关系,online_public,https://dn-simplecloud.shiyanlou.com/1517278026775.png,,21564
使用 Django 打造一个完整成熟的社区项目，实现了用户注册、讨论发布，讨论回复，站内搜索等主要功能。让用户能够熟悉 Django 开发 Web 项目的基础流程，并可以在此项目的基础上进行自定义修改后，直接进行部署上线。,bootcamp,/courses/1181,1181,,3,Django 实现问答社区,online_public,https://dn-simplecloud.shiyanlou.com/course/1542251589112_[1181]-[基于Django实现问答社区].jpg,,714
PHP是一种被广泛应用的开放源代码的多用途脚本语言，它可嵌入到 HTML中，尤其适合 web 开发。实验课程基于《PHP 参考手册》中文版本制作。,free,/courses/23,23,,2,PHP 编程入门,online_public,https://dn-simplecloud.shiyanlou.com/course/1524713748754_【23】-【PHP编程入门】.png,,22695
在本训练营中，我们将学习怎么样使用 Python 进行数据分析。课程将从数据分析基础开始，一步步深入讲解。从 Python 的基础用法到数据分析的各种算法，并结合各种实例，讲解数据分析过程中的方方面面。挑战参考答案：https://www.shiyanlou.com/questions/61129/,bootcamp,/courses/764,764,,2,Python 数据分析入门实战,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20190618-1560847379517,,5999
本课程主要介绍了 16 个设计模式的相关知识，使用 UML 类图形象表示各个类之间的关系，并使用 PHP 实现示例代码。课程内容文字较多，且知识点较为抽象，学习起来有一定的难度。适合作为进阶课程学习。,free,/courses/699,699,,2,16 个 PHP 设计模式详解,online_public,https://dn-simplecloud.shiyanlou.com/1517278443183.png,,7947
本课程实验内容从 SQL 概念开始，在 MySQL 数据库中学习并实践了 SQL 常用语法及约束、索引、视图、SELECT 查询、修改与删除等基本操作。,free,/courses/9,9,,2,MySQL 基础课程,online_public,https://dn-simplecloud.shiyanlou.com/course/1542591694584_【9】-【MySQL基础课程】.png,,80580
内容发布系统作为基础的网站应用，可以用于新闻、博客、官网、论坛、社区等各种用途。本训练营教大家如何从头构建实现一个前后端分离的内容发布系统，包括了前端页面、后端服务、数据库等。,bootcamp,/courses/1505,1505,,3,Vue.js 和 Node.js 构建内容发布系统,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20200117-1579244581944,,682
本训练营使用 Django 框架实现了世界最大的外包网站 Upwork。在实现过程中，将其分为了三大应用模块：用户模块、任务模块、私信消息模块。每个模块都严格按照 Django 框架中的 MTV （Model-Template-View） 模式完成。,bootcamp,/courses/1144,1144,,3,Django 实现仿 Upwork 众包网站,online_public,https://dn-simplecloud.shiyanlou.com/course/1535536996256_【1144】-【基于Django实现Upwork众包网站】.png,,462
在 PHP 开发的世界里，有许许多多优秀的框架帮助开发者快速创建一个 Web 工程，其中 MVC 框架以其简明的逻辑、易维护特性、人性化的开发流程成为框架设计理念的主流。本课程将通过理论与实践相结合的方式为大家呈现一个全方位的 MVC 框架开发流程。,bootcamp,/courses/1200,1200,,3,PHP 开发一个 MVC 框架,online_public,https://dn-simplecloud.shiyanlou.com/course/1541750783599_[1200]-[PHP-开发一个-MVC-框架](1).jpg,,239
本课程用 50 行 Python 代码完成图片转字符画小工具。通过本实验将学习到 Linux 命令行操作，Python 基础，pillow 库的使用，argparse 库的使用。本课程难度简单，属于 Python 基础课程。,free,/courses/370,370,,2,Python 实现图片转字符画,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592561365_【370】-【Python图片转字符画】.png,,109205
“算 24 点”是一种数学游戏，正如象棋、围棋一样是一种人们喜闻乐见的娱乐活动。 它始于何年何月已无从考究，但它以自己独具的数学魅力和丰富的内涵正逐渐被越来越多的人们所接受。在本课程中，我们将通过一个算 24 点游戏的形式，进一步巩固 Scala 的基础。你将可以在本课程中学习到数学表达式的穷举方法、全排列算法，以及如何在 Java 中调用 Scala 的代码等。,free,/courses/491,491,,2,Scala 实现二十四点游戏,online_public,https://dn-simplecloud.shiyanlou.com/1453875007050.png,,2348
RabbitMQ是一个由erlang开发的AMQP（Advanced Message Queue ）的开源实现。AMQP 的出现其实也是应了广大人民群众的需求，虽然在同步消息通讯的世界里有很多公开标准。本课程从安装RabiitMQ到简短代码逻辑，让同学们理解其原理和工作方式,free,/courses/630,630,,2,RabbitMQ 消息队列基础入门,online_public,https://dn-simplecloud.shiyanlou.com/course/1542593264887_【630】-【RabbitMQ消息队列】.png,,4278
在本课程中学生将利用竞态条件漏洞获得root权限。除了攻击之外，学生还将学习如何制定保护方案抵御该类攻击。适合对于有Linux 基础的同学进行学习。需要对之前的信息安全课程有了解之后再进行学习。,free,/courses/249,249,,2,竞态条件漏洞实验,online_public,https://dn-simplecloud.shiyanlou.com/1525930945137.png,,2996
如果你使用 Python 语言进行科学计算，那么一定会接触到 NumPy。NumPy 是支持 Python 语言的数值计算扩充库，其拥有强大的高维度数组处理与矩阵运算能力。除此之外，NumPy 还内建了大量的函数，方便你快速构建数学模型。,free,/courses/912,912,,2,NumPy 数值计算基础入门,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20191017-1571278530595,,7494
二维码已经成为我们日常生活中不可或缺的一部分。在本课程中，就使用 Python 基于MyQR实现生成普通二维码，带图片的艺术二维码，动态二维码。,free,/courses/1126,1126,,2,Python 生成个性二维码,online_public,https://dn-simplecloud.shiyanlou.com/1530236619450.png,,15494
本实验中，学生将感受到linux capability功能在访问控制上的优势，掌握使用Capability达到遵守最小权限原则的目的，并分析linux中基于Capability访问控制的设计。,free,/courses/273,273,,2,Linux Capability 探索实验,online_public,https://dn-simplecloud.shiyanlou.com/1525940760038.png,,806
每天我们都会收到很多的邮件，但是从来没有了解过邮件是怎么实现收发的，也没有自己配置过一台邮件服务器。如果是因为条件所限，而没有实现过邮件服务器，那么在我们的环境就可以实现了。从实践中学习，你值得拥有！,member,/courses/612,612,,2,Linux 安装及配置邮件服务器,online_public,https://dn-simplecloud.shiyanlou.com/course/1542593139207_【612】-【Linux系统搭建及配置邮件服务器】.png,,1463
Linux 运维的新手入门课程，面向完全没有 Linux 基础的同学。你将在一下午入门 Linux、Nginx 基础和 Zabbix 监控系统，为未来的 Linux 服务器运维工作打下基础。,free,/courses/1403,1403,,2,Linux 运维新手入门课,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid8504-20191018-1571390319412,,5122
XGBoost 是利用 Gradient Boosting 梯度提升算法开发的机器学习工具库，其针对多语言开发并实现了高效的分布式计算过程。本课程中，我们将介绍 Gradient Boosting 原理，并应用 XGBoost 进行实战练习。,free,/courses/1415,1415,,2,XGBoost 梯度提升实践,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20191014-1571044864437,,432
在本课程中，详细的介绍了使用 vue-cli 脚手架工具创建一个 Vue 3 项目，并且引入 Element UI 来完成页面布局。作为一个前端开发工作者，对于轻量化框架 Vue 必须掌握，Element UI 的编辑开发辅助框架 ELement UI 更是前端开发工作者应该熟练使用的。,bootcamp,/courses/1411,1411,,3,Vue.js 和 Element UI 开发管理后台,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid770606-20191030-1572414697903,,835
TensorBoard 是 TensorFlow 提供的一款可视化工具，其专门针对深度学习训练过程存在的可视化需求设计。本次实验中，我们将了解 TensorBoard 的功能组件和基础使用方法。,free,/courses/1437,1437,,2,TensorBoard 深度学习可视化实践,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid214893-20191030-1572416525178,,588
在本课程中我们将实现一个 Redis 服务器监控工具，工具名为 rmon，rmon 是一个 Web 应用，应用分为两部分，第一部分实现了 Redis 服务器管理和监控信息获取的 API ；第二部分在前一部分项目框架的基础之上创建一个用户系统接入微信公众号平台。项目功能难度适中，借助于这个项目我们可以进一步学习 Web 开发中的一些知识。,bootcamp,/courses/1344,1344,,3,Python 实现微信公众号管理 Redis 服务器,online_public,https://dn-simplecloud.shiyanlou.com/courses/uid310176-20191101-1572584276794,,331
C++11 的出现及C++14 对 C++11的重要补充，让 C++ 这门古老的语言注入了新的活力。如果你还在使用传统 C++，打着 C++ 的名号写出 C 语言代码，请停下来。本教程将带领你快速上手 C++11/14 的重要特性。,member,/courses/605,605,,2,C++11&14 高速上手教程,online_public,https://dn-simplecloud.shiyanlou.com/course/1542592847397_【605】-【C++11_14高速上手教程】.png,,16223
本次实验我们将介绍人工神经网络中的生物神经元，及突触间隙的学习过程。最终将实现基于hebb规则的自联想存储器。由于自联想存储器具有降低噪声，与去除不同输入间的干扰功能，在测试阶段我们将输入有噪音或遮挡的数字图片查看联想结果。,member,/courses/679,679,,2,Python 实现自联想器,online_public,https://dn-simplecloud.shiyanlou.com/course/1542594125870_【679】-【自联想器的Python实现】.png,,1325
